Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Dominic,Okarara,Market,Yes,Female,Ejagham,1998,10,999,999,999,999,999,999,999,999,999,1,999,999,999,999,6,999,999,999,999,999,999,10,10,999,999,5,3,999,999,4,999,999,999,999,999,999,999,999,999,2,9,999,999,999,999,999,10,999,6,999,8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,8,999,999,999,7,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,176873482,7452ecf5-773b-4af9-b31f-3ab1fde0a1af,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,4
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1998,8,999,999,999,999,999,999,999,2,999,1,999,1,999,7,3,999,8,999,999,999,9,6,10,999,999,8,8,7,999,2,999,999,6,2,10,999,7,999,999,2,2,999,999,999,999,5,2,7,999,999,4,999,999,999,999,999,999,999,2,999,9,999,999,999,1,999,999,999,999,999,999,999,8,999,999,999,10,999,999,999,999,5,999,999,999,999,3,1,999,1,999,4,999,999,999,9,10,999,177435450,b89b7ace-8a7d-474e-a959-a5d1e29149e1,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,50
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1998,10,999,999,999,9,8,10,10,3,5,9,10,1,999,8,7,9,10,8,999,999,8,10,9,999,999,10,10,3,9,10,999,2,8,10,10,9,2,999,999,9,10,999,10,4,10,10,10,9,6,999,7,999,1,999,6,4,999,10,9,999,8,999,999,10,9,999,999,999,999,999,10,999,10,8,10,999,9,10,999,999,999,10,3,999,10,6,9,1,999,10,999,999,999,999,999,9,10,999,177435454,4e88a131-08de-407e-8e0c-0f10631784de,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,52
Ebri,Aningeje,Household,Yes,Female,Ejagham,1998,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,9,1,999,999,10,10,999,999,7,999,999,999,999,8,1,999,999,999,8,9,999,999,999,999,999,8,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,7,999,999,999,999,8,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,181085950,3bd880b1-ed5b-43e5-9bc2-1ae8b40cf913,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,91
Ebri,Aningeje,Household,Yes,Female,Ejagham,1998,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,10,10,999,999,999,8,999,999,10,999,999,999,999,5,10,999,999,999,10,10,999,999,999,999,999,10,999,10,999,10,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,2,999,999,999,999,10,1,999,999,999,8,999,999,999,999,999,999,181085971,7e6e83a1-d538-41fc-a4d5-f12f0baa7b12,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,94
Ebri,Ifumkpa,Household,Yes,Female,Efut,1998,10,999,999,999,999,999,999,999,999,10,999,999,999,10,10,1,999,1,10,10,999,999,10,10,999,999,10,10,999,999,10,999,999,999,10,999,999,999,10,999,1,10,999,999,999,999,999,1,999,10,999,10,999,999,999,10,999,999,999,10,999,999,999,999,10,10,999,999,999,999,10,999,999,999,999,10,999,10,999,999,999,999,999,999,999,999,999,10,10,999,1,999,10,999,999,999,7,10,1,182837322,7d4cc11f-b49c-49a7-83cc-2c59be9dd8b7,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,154
Ebri,Agoi Ibami,Household,Yes,Female,Yakurr,1998,10,999,999,999,999,999,999,999,999,999,2,10,999,2,999,999,999,10,999,999,999,999,10,10,10,999,7,9,999,10,7,999,999,999,10,999,999,999,8,999,999,5,999,8,999,999,999,10,4,10,999,9,999,10,999,10,999,999,999,4,10,999,999,999,999,3,999,999,999,999,10,999,999,999,999,999,999,6,999,999,999,999,5,999,999,999,999,3,1,999,10,999,999,999,999,999,10,10,999,183360201,ca9173fe-4c80-4399-a7c3-196ed0a946aa,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,174
Dominic,Obung,Market,Yes,Female,Ejagham,1998,1,999,999,999,999,8,6,10,999,999,9,999,999,999,6,10,999,10,999,999,999,9,4,10,2,999,10,4,8,999,10,999,999,999,999,9,999,999,5,999,10,10,999,999,999,999,10,9,999,7,999,10,999,999,999,7,999,999,999,7,999,999,999,999,999,3,999,999,999,999,999,999,999,999,999,999,999,10,4,999,999,999,999,999,999,999,999,10,3,999,999,999,999,999,999,999,8,10,999,183369162,8578d956-6bcd-45b5-a20f-81e939732ddc,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,177
Dominic,Agoi Ibami,Market,Yes,Male,Ejagham,1998,9,999,999,999,999,999,999,999,999,999,9,999,999,999,999,2,999,999,999,999,999,999,3,3,999,999,9,6,999,999,4,999,999,999,999,999,999,999,5,999,999,10,999,999,999,999,999,9,7,8,999,10,999,999,999,999,999,999,999,3,999,999,999,999,1,999,999,999,999,999,999,999,999,999,999,999,999,2,999,999,999,999,999,999,999,999,999,3,999,999,4,999,2,999,999,999,10,999,999,183369315,57d7f488-b605-4906-8d74-d1ece87177c4,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,212
Ebri,Ochon,Household,Yes,Female,Other,1998,5,999,999,999,999,9,999,999,999,999,10,999,999,999,999,2,999,999,999,4,999,999,1,999,3,999,10,10,999,999,6,999,999,999,999,999,4,999,999,999,10,10,3,999,999,999,999,10,7,9,999,5,999,999,999,7,999,999,999,999,999,999,999,999,999,999,999,999,1,999,6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,8,7,999,3,999,10,999,999,999,999,999,999,183739652,be6ef934-4df4-402f-adb7-719d1db1fd50,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,249
Ebri,Ochon,Household,Yes,Female,Other,1998,1,999,999,999,999,999,999,999,999,999,7,999,999,999,999,9,999,999,999,999,999,999,999,10,999,999,10,7,999,999,6,999,999,999,999,9,6,999,999,999,5,10,3,9,999,999,999,7,4,10,999,7,999,999,999,5,999,999,999,2,999,999,999,999,999,6,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,4,9,999,999,999,999,999,999,999,999,10,999,999,183739676,d7043767-3e81-470a-a03c-d3dfc4e1b5b2,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,255
Dominic,Abo Ogbagante,Market,Yes,Female,Other,1998,3,999,999,999,999,999,999,999,999,999,7,999,999,999,999,5,999,999,999,999,999,999,999,6,999,999,2,9,999,999,8,999,999,999,999,999,9,999,999,999,999,10,999,999,999,999,999,5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,999,999,999,999,999,999,999,999,999,999,999,184270037,96425735-547b-4e8c-91a3-db0a00390297,14/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,261
Dominic,Butatong,Market,Yes,Female,Boki,1998,10,7,999,999,999,999,9,8,999,999,10,999,999,999,999,9,999,8,10,999,999,5,7,10,999,999,10,8,999,999,10,999,999,999,999,9,10,999,7,999,999,10,999,999,8,6,999,10,9,10,999,10,999,999,999,999,999,999,999,999,5,999,999,999,8,9,999,999,999,999,3,999,999,999,999,999,999,4,999,999,999,7,999,999,999,999,999,10,7,999,999,999,7,999,999,999,10,10,999,185099340,ede806b3-4ddb-4e3b-b770-1e3fc0bf878e,16/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,322
Dominic,Okwa II,Market,Yes,Female,Boki,1998,10,8,999,999,999,999,999,6,9,999,999,10,999,999,999,6,999,8,999,999,10,8,5,5,10,999,9,10,999,10,10,2,999,999,5,999,999,999,7,999,7,7,999,10,999,999,999,6,6,999,999,9,999,999,999,999,999,999,1,9,10,8,999,999,9,7,999,999,999,999,10,9,8,999,10,999,999,8,6,999,999,999,7,999,999,9,999,6,3,8,5,999,999,999,999,999,9,8,999,187221831,26e9de1a-ce7a-462e-85c8-5bf196b380fb,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,378
Ebri,Okwangwo,Household,Yes,Female,Boki,1998,10,999,999,999,999,1,999,999,999,999,999,999,999,5,999,10,999,10,999,999,999,999,10,10,999,999,10,10,999,999,999,999,999,999,8,10,4,999,999,999,1,10,999,999,7,7,999,1,999,10,999,1,999,999,999,999,4,999,999,10,999,10,999,999,1,3,999,999,999,999,999,2,999,999,999,999,999,9,999,999,999,999,999,999,10,999,999,1,999,999,999,999,999,999,999,999,999,10,999,187240948,f90bdda6-d1da-4e1d-9c99-48d28415d03c,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,413
Ebri,Okwa I,Household,Yes,Female,Boki,1998,10,999,999,999,10,999,999,999,999,999,5,10,999,999,999,8,999,999,999,9,999,999,999,10,10,999,8,7,999,10,10,999,999,999,6,999,9,999,999,999,2,10,999,10,999,999,999,8,999,10,5,10,999,4,999,4,2,999,999,10,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,1,999,999,7,999,999,9,999,10,4,999,999,4,999,999,187241849,9a78ca6d-264a-4ce7-be31-7b24b606a3d4,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,450
Ebri,Utanga,Household,Yes,Female,Other,1998,999,999,999,999,999,999,10,10,999,999,999,999,999,999,999,1,999,6,999,999,999,999,9,7,999,999,10,9,999,999,5,999,999,999,999,999,10,999,999,999,999,8,999,999,999,10,999,1,999,8,10,9,999,10,999,10,999,999,5,999,999,999,999,999,999,2,999,999,999,999,5,10,999,999,999,999,999,10,999,999,999,10,6,999,999,999,999,10,10,999,999,999,10,999,999,999,999,10,999,187242098,5fe61d5f-ffbe-42fe-bfbd-404e95584564,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,476
Ben,Okwa II,Hunter,Yes,Male,Efik,1998,10,8,999,999,10,10,999,10,5,999,5,9,10,8,7,7,6,10,1,9,1,4,3,10,9,999,10,10,7,9,10,999,1,999,10,9,1,10,10,999,3,10,999,9,9,9,10,10,999,10,999,10,999,999,999,10,4,999,999,10,9,1,1,999,10,7,5,999,999,999,7,9,999,4,10,999,999,10,4,999,999,10,999,999,999,999,8,9,999,10,9,6,10,3,999,10,8,10,999,187290457,bdb082b8-8e5a-4c82-ba08-0bfe38643aec,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,536
Ben,Okwa II,Hunter,Yes,Male,Boki,1998,10,4,999,999,10,7,999,9,999,1,10,7,2,10,999,10,6,10,10,9,999,999,10,10,7,999,10,10,10,7,10,999,999,999,6,10,7,1,5,999,2,10,999,7,9,8,10,10,8,10,999,10,999,999,999,1,9,999,999,10,7,10,9,999,10,10,999,999,999,999,7,9,999,999,999,999,999,10,999,999,999,6,999,999,999,999,10,10,999,10,10,9,10,3,999,8,8,10,999,187290466,b6f44d92-4d86-4f22-983d-11d459c038c1,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,537
Dominic,Okarara,Market,Yes,Female,Ejagham,1999,10,10,999,999,2,999,4,999,999,999,1,999,10,999,5,10,999,10,999,999,999,999,3,10,999,999,10,6,6,999,1,4,999,10,999,10,10,999,3,999,3,10,1,999,999,4,10,10,2,10,10,9,10,8,999,10,999,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,999,999,999,999,7,10,999,999,999,999,999,999,5,999,10,999,999,8,999,10,999,999,999,999,6,999,176873464,0c3d87b5-b485-4817-8066-41f110124004,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,1
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1999,10,999,999,999,999,10,999,999,999,999,9,10,9,999,999,9,999,10,10,999,999,10,10,10,10,999,9,10,999,999,9,999,10,999,9,10,9,10,999,999,9,10,999,10,999,999,999,9,9,10,999,10,999,999,999,9,999,999,999,9,10,10,9,999,9,10,999,999,999,999,10,999,999,999,999,999,999,10,999,9,999,999,999,999,999,999,999,9,9,9,9,9,999,999,999,999,9,10,999,177420263,14e14654-640a-4d7d-909b-3508c617789d,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,36
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1999,9,999,999,999,999,999,999,999,1,999,999,6,999,999,999,5,999,999,999,999,999,999,9,10,5,999,9,7,999,999,2,999,999,999,999,9,999,999,999,999,5,9,999,6,999,999,999,8,8,7,999,8,999,999,999,999,999,999,999,6,999,6,999,999,999,999,999,999,999,999,8,3,999,999,999,999,999,7,999,8,999,999,999,999,999,999,999,3,3,7,999,999,999,999,999,999,999,999,999,177435459,0b09c59b-cd8e-43ec-8276-7ef5b00eb787,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,55
Ebri,Mkpot 1,Household,Yes,Female,Ejagham,1999,10,999,999,999,999,1,999,6,999,5,2,5,7,999,4,8,999,8,4,999,6,10,10,10,5,999,10,7,999,999,4,999,999,999,6,999,10,10,9,999,9,10,999,5,1,9,10,6,9,8,999,10,999,999,999,9,2,999,999,10,999,999,999,999,5,999,999,999,999,999,999,999,999,999,999,5,999,10,999,999,999,999,999,999,999,999,10,10,5,999,6,999,999,5,999,999,999,10,1,177721057,baafcb68-b017-4c15-a8c7-d088969373bc,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,84
Dominic,Aningeje,Market,Yes,Female,Ibibio,1999,2,999,999,999,999,999,999,999,999,999,9,999,999,999,999,5,999,9,999,999,999,999,10,10,999,999,5,4,999,999,9,999,999,999,999,9,999,999,999,999,999,8,999,999,999,999,999,9,999,9,999,2,999,7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,7,999,999,999,999,999,999,999,999,999,3,1,999,999,999,5,999,999,9,9,999,999,181086868,5d4ed006-3bba-44b5-af8f-4697e38956ba,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,116
Dominic,Ifumkpa,Market,Yes,Female,Ejagham,1999,10,999,9,5,7,999,6,8,999,7,7,999,999,8,9,7,999,9,10,999,999,999,10,10,999,999,10,10,8,999,10,999,7,999,999,999,5,999,999,999,7,9,999,999,999,999,999,10,5,3,999,10,999,999,999,5,5,8,6,10,999,5,999,9,999,7,5,999,999,999,999,999,999,999,999,6,7,9,9,999,999,999,6,999,999,9,6,9,999,999,9,999,999,999,999,7,10,10,999,183369186,6c3dbca4-ca14-48d6-af28-e23aa4fd4f5d,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,187
Dominic,Ifumkpa,Market,Yes,Female,Ejagham,1999,1,999,999,999,999,999,999,6,999,999,999,999,999,999,999,9,999,8,999,999,999,5,7,5,999,999,3,3,5,999,10,999,999,999,999,9,3,999,999,999,8,7,999,999,999,999,999,9,2,10,999,10,999,10,999,999,999,999,999,4,999,999,999,999,999,4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,2,999,1,4,999,999,999,999,7,8,999,183369189,e85b91e7-2448-4cb9-9ebb-646289ba31b4,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,189
Dominic,Agoi Ibami,Market,Yes,Male,Yakurr,1999,9,999,999,999,999,999,999,999,2,999,999,999,999,999,999,5,6,999,5,999,4,999,7,7,4,999,8,4,999,999,3,999,999,999,999,9,3,999,999,999,3,7,999,999,999,999,999,8,6,7,999,8,999,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,2,1,999,999,999,999,999,999,999,8,999,999,183369325,515925e9-cb4e-4a18-88ea-626ed8f63917,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,216
Ebri,Ochon,Household,Yes,Female,Other,1999,8,999,999,999,999,999,999,10,999,999,999,999,999,999,999,10,999,999,999,10,999,999,9,10,3,999,10,7,999,999,10,999,999,999,999,999,9,999,999,999,2,7,999,3,999,10,999,1,999,10,999,10,999,999,999,10,10,999,999,999,3,999,999,999,3,999,999,999,999,999,999,999,999,999,999,2,999,1,999,999,999,999,5,999,999,999,10,6,1,999,4,999,1,4,999,999,10,999,999,183739671,6532ebf6-655e-4453-ac1f-5bdb09012c64,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,253
Dominic,Abo Ogbagante,Market,Yes,Female,Boki,1999,10,999,999,999,999,4,999,9,999,999,4,6,3,5,999,5,999,10,7,999,999,999,5,9,8,999,10,6,9,5,5,999,999,999,3,6,2,999,999,999,3,9,999,6,999,999,999,9,3,5,999,5,999,5,999,999,999,999,999,999,1,999,999,999,2,4,999,999,999,999,999,999,5,999,999,999,999,10,6,999,999,999,999,999,999,999,9,7,999,999,9,999,6,999,999,6,5,10,999,184270083,207ebbc0-a152-43cc-b007-63348402540f,14/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,267
Ben,Abo Ogbagante,Hunter,Yes,Male,Boki,1999,9,6,10,6,1,999,9,10,10,999,999,6,5,5,10,5,999,10,10,10,999,999,10,9,10,999,6,10,999,6,10,999,999,999,5,10,999,6,999,999,999,9,999,9,5,9,999,9,6,10,999,6,999,999,2,999,999,1,999,4,10,999,999,999,9,8,999,999,999,999,10,6,999,999,999,999,999,6,999,2,999,999,9,999,999,999,5,5,6,3,6,10,5,999,999,9,4,10,999,184801074,868449aa-f76d-47f0-a811-6adfb33cb1af,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,302
Dominic,Okwangwo,Market,Yes,Male,Boki,1999,10,999,999,999,8,10,8,6,999,4,7,6,5,999,4,9,4,10,999,999,999,10,9,10,6,999,10,10,8,6,7,8,9,999,2,10,9,999,9,999,9,9,999,6,10,9,999,10,5,8,999,10,999,999,999,9,10,999,9,10,6,10,2,999,9,10,999,999,999,10,9,9,999,2,999,999,999,10,8,999,999,999,8,999,999,999,10,9,999,999,9,10,999,9,999,10,10,10,999,187221334,6731a4b9-cf91-4734-9088-335b36cbebf4,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,339
Dominic,Okwa II,Market,Yes,Female,Boki,1999,10,999,999,999,8,8,9,9,10,999,8,5,2,999,10,7,999,10,999,999,8,10,7,7,5,999,7,7,999,2,999,999,999,999,4,999,6,999,999,999,2,9,999,8,999,999,10,2,4,10,999,10,999,999,999,999,10,999,999,7,8,999,999,999,2,999,999,999,999,999,999,999,10,999,999,999,999,6,999,999,999,999,999,999,999,9,6,999,4,999,999,999,7,999,999,999,10,10,999,187221800,8478b683-2ae4-483e-a657-4e760636e2dd,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,375
Ebri,Okwangwo,Household,Yes,Female,Boki,1999,7,999,999,999,999,999,999,999,999,999,1,10,999,999,999,10,999,9,999,999,999,999,5,9,2,999,10,9,999,999,1,999,999,999,999,10,5,999,999,999,9,10,999,8,999,999,999,4,999,999,999,999,999,999,999,999,999,999,999,999,3,999,999,999,7,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,7,999,999,9,999,999,999,999,999,9,10,999,187241078,9e7f4783-6481-49e3-b9ca-9108ecd109bf,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,419
Ebri,Okwangwo,Household,Yes,Female,Boki,1999,9,999,999,999,999,8,999,10,999,999,4,2,999,999,999,6,999,10,999,999,999,999,7,9,7,999,9,4,999,1,999,999,999,999,999,999,999,999,999,999,8,10,999,999,999,999,999,999,999,10,999,6,999,999,999,999,999,999,999,8,1,999,999,5,999,999,999,999,999,999,7,4,999,999,999,999,999,10,999,999,999,999,999,999,999,999,2,1,999,999,1,999,999,9,999,999,10,999,6,187241124,0e59f39f-8a99-49f6-8be8-860cced374c6,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,421
Ebri,Okwangwo,Household,Yes,Female,Boki,1999,10,999,999,999,8,10,999,2,999,8,4,1,1,6,9,10,999,10,999,5,999,999,10,10,10,999,10,10,999,3,10,999,999,10,7,999,2,999,6,999,10,10,999,3,999,2,999,10,6,4,999,9,999,5,999,5,6,999,999,999,3,10,999,999,5,4,999,999,999,2,999,8,999,999,999,999,999,10,999,999,999,999,7,999,999,999,4,10,999,999,999,999,10,999,999,1,999,10,999,187241630,f9c3b7ce-ec33-4709-ad67-068bf7bb2d09,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,430
Ben,Okwangwo,Hunter,Yes,Male,Boki,1999,8,7,7,6,10,7,999,9,7,10,2,7,2,8,8,10,4,10,5,999,3,9,5,8,8,999,8,1,5,999,1,999,999,9,9,6,1,999,999,999,1,8,999,5,3,7,999,9,4,8,999,6,999,999,999,10,9,4,999,2,5,10,8,999,9,9,999,999,999,999,7,6,999,10,9,999,999,10,10,2,999,999,6,999,999,999,3,8,999,999,6,7,999,8,999,8,9,9,999,187290265,9618eef0-2d2d-4a98-a843-5d9d0ce1efba,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,506
Ben,Okwa I,Hunter,Yes,Male,Boki,1999,5,999,999,999,999,999,999,5,7,999,10,9,999,3,6,4,999,999,7,999,999,999,10,10,9,999,1,1,999,9,10,999,999,999,999,7,999,999,999,999,999,10,999,999,999,999,999,10,3,6,999,8,999,999,999,999,999,999,999,10,9,999,999,999,7,2,999,999,999,999,4,3,999,999,999,999,999,10,999,2,999,999,999,999,999,999,3,10,999,8,999,999,999,999,999,999,9,999,999,187290383,1090fde7-692a-43e6-abe0-e0459b4b9a5d,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,525
Dominic,Mkpot 1,Market,Yes,Female,Bahumono,2000,9,999,999,999,4,999,999,9,999,2,9,1,999,8,10,3,999,10,10,8,999,999,7,10,999,999,10,7,5,999,6,999,999,999,10,9,5,4,999,999,3,8,6,999,999,999,9,4,9,10,999,10,999,999,999,999,4,999,6,9,999,999,999,999,3,999,999,999,999,999,6,999,999,999,999,999,999,10,6,999,999,999,9,999,999,1,999,10,6,999,9,999,999,999,999,999,7,6,999,177435457,0fcfab47-63d6-4b01-b0e9-f48814e1937a,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,54
Ebri,Ochon,Household,Yes,Female,Other,2000,10,999,999,999,999,999,999,999,999,999,1,10,999,999,999,3,999,7,999,999,999,999,8,5,10,999,6,2,999,999,1,8,999,999,999,9,5,999,8,999,999,4,999,9,999,999,999,10,8,9,999,999,999,999,999,999,999,999,999,9,8,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,6,999,999,7,999,999,999,999,999,10,6,999,183739677,84cf6122-bd37-4f5e-b1f4-8edabb15fd19,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,256
Ebri,Abo Ogbagante,Household,Yes,Female,Ibibio,2000,9,7,999,4,999,9,999,4,999,999,8,999,999,6,10,7,999,1,4,999,9,999,7,9,999,999,7,9,999,999,6,999,999,999,7,9,6,999,8,999,1,8,999,999,999,999,999,9,7,10,999,7,999,3,999,999,999,999,999,999,999,999,999,999,3,4,999,999,999,999,10,999,999,999,999,9,999,2,999,999,999,999,8,999,999,999,1,10,5,999,4,999,3,999,999,999,10,9,999,184791528,5f7856c5-65cc-41e8-b1e1-0f20d8e5a037,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,269
Ebri,Abo Ogbagante,Household,Yes,Female,Boki,2000,9,999,999,999,8,999,999,9,999,999,999,999,1,999,999,10,999,7,999,10,999,999,10,10,1,999,10,10,999,999,2,999,999,999,999,999,10,999,999,999,2,10,999,2,999,999,999,5,5,5,2,9,999,999,999,999,999,999,999,999,999,999,999,999,9,4,999,999,999,999,6,999,999,999,999,999,999,6,999,999,999,999,999,9,999,999,3,10,2,999,999,999,999,999,999,999,10,999,999,184791553,56b3c7f8-de17-4e73-a267-74ee21179c21,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,274
Dominic,Bamba,Market,Yes,Female,Boki,2000,10,999,999,999,9,999,999,999,999,999,999,1,999,10,999,10,999,10,4,999,999,999,10,10,1,999,10,9,6,1,8,999,999,9,999,10,10,999,999,999,6,999,999,1,999,999,999,10,999,7,999,3,999,9,999,999,999,999,999,999,999,999,999,999,10,10,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,8,999,999,8,999,999,999,999,999,10,999,999,184795177,ccf8623f-e25a-48a8-b360-45f451f2fc24,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,288
