"name.interviewer","village","type.respondent","sex","ethnicity","dob","animal","score","X_id","comm.type","category","number"
"Dominic","Okarara","Market","Female","Ejagham",1987,"Bushbuck",8,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Hornbills",4,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Lobsters",2,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Preuss's red colobus",9,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Red river hog",7,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Sheep",1,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Shrews",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Otters",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Stock fish",2,176873484,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Tortoises",4,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Turkey",10,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"African brush-tailed porcupine",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"African dwarf crocodile",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"African elephant",8,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"African palm civet",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Slender-snouted crocodile",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Aquatic snail",9,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Bats",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Bates' pygmy antelope",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Bay duiker",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Beef",9,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Black guineafowl",8,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Black-bellied pangolin",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Blue duiker",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Bushfowls",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Cameroon red-eared monkey",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Carp",10,176873491,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Catfish",8,176873491,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Chicken",10,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Chicken egg",10,176873491,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Chimpanzee",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Common periwinkle",10,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Cricket",1,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Cross River gorilla",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Crested mona monkey",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Cusimanses",9,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Anchovy",8,176873491,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Drill",1,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Freshwater crab",1,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Freshwater shrimps",10,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Galagos",8,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Giant pangolin",10,176873491,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Giant land snail",10,176873491,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1995,"Giant pouched rat",10,176873491,"Border","Wild meat",1
